Title,URL
Gemini 3.8 Flash and 3.8 Flash Cyber,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/
Muse Spark 1.3,https://developer.meta.com/ai/models/muse-spark/
Google avoids a breakup of its ad tech business,https://www.nytimes.com/2026/09/02/technology/google-ad-tech-remedies.html
The Post-AI Internet Doesn't Look Great,https://www.jordangoodman.xyz/the-post-ai-internet-doesnt-look-great/
The American Worker vs. the Most Qualified,https://www.marginallycompelling.com/p/the-american-worker-vs-the-most-qualified
Can I opt out of my input or output data being used for training?,https://help.mistral.ai/en/articles/455207-can-i-opt-out-of-my-input-or-output-data-being-used-for-training
Wendell Berry has died,https://www.nytimes.com/2026/08/31/us/wendell-berry-dead.html
Biggest dark matter detector spots a single weird particle,https://www.science.org/content/article/world-s-biggest-dark-matter-detector-spots-single-weird-particle
Introducing Muse Spark 1.3,https://research.meta.ai/blog/introducing-muse-spark-1-3
Exit the Cave,https://turtlespace.blog/p/exit-the-cave
Embedded Rust RTOS vs. C RTOS,https://tweedegolf.nl/en/blog/65/async-rust-vs-rtos-showdown/
Aging Brains Blend Memories Together Instead of Just Forgetting Them,https://studyfinds.com/aging-brains-blend-memories-together-instead-of-forgetting-them-study-finds/
"Commodore 64 released September 1, 1982",https://dfarq.homeip.net/commodore-64-released-september-1-1982/
SteamdDB Joins Nexus Mods,https://www.nexusmods.com/news/15597
The Qantas A380 engine disintegration in 2010,https://admiralcloudberg.medium.com/a-matter-of-millimeters-the-story-of-qantas-flight-32-bdaa62dc98e7
"Three sites made 215,128 “best software” pages for AI. Perplexity cites them",https://trellner.com/reports/manufactured-sources-behind-ai-recommendations/
A Selection of Los Alamos Rolodex Business Cards,https://clui.org/collections/los-alamos-business-cards/selection-cards
Poisson Disk Sampling,https://stripeacross.com/posts/poisson-disk-sampling/
We could save petabytes of cache storage with Zstandard and Pingora,https://blog.cloudflare.com/cache-transcoding/
I Don't Have a Smartphone,https://ploum.net/2026-09-02-i_dont_have_a_smartphone.html
