comment,label
Clickbait title,toxic
You're amazing!,support
Can't believe people like this,toxic
Legend!,support
You're such a loser,toxic
Thanks for the content!,support
This is trash,toxic
Thanks for the content!,support
You're such a loser,toxic
So clear and helpful,support
You sound horrible,toxic
Awesome explanation,support
Waste of time,toxic
Thanks for the content!,support
Can't believe people like this,toxic
So clear and helpful,support
Worst video ever,toxic
Keep up the great work,support
Can't believe people like this,toxic
So clear and helpful,support
You sound horrible,toxic
Much appreciated!,support
Waste of time,toxic
Keep up the great work,support
You're such a loser,toxic
This helped me a lot!,support
Can't believe people like this,toxic
Awesome explanation,support
This is trash,toxic
So clear and helpful,support
You're such a loser,toxic
This helped me a lot!,support
You're such a loser,toxic
Thanks for the content!,support
Worst video ever,toxic
Awesome explanation,support
Worst video ever,toxic
Much appreciated!,support
Waste of time,toxic
Much appreciated!,support
Can't believe people like this,toxic
I learned a lot!,support
You're such a loser,toxic
Legend!,support
You're such a loser,toxic
Keep up the great work,support
Worst video ever,toxic
Legend!,support
Can't believe people like this,toxic
I learned a lot!,support
Worst video ever,toxic
Awesome explanation,support
Waste of time,toxic
Legend!,support
Stop making content,toxic
Best tutorial I've seen,support
You're such a loser,toxic
You're amazing!,support
Can't believe people like this,toxic
Legend!,support
Stop making content,toxic
I learned a lot!,support
Stop making content,toxic
You're amazing!,support
Stop making content,toxic
You're amazing!,support
This is trash,toxic
Awesome explanation,support
Cringe content,toxic
This helped me a lot!,support
This is trash,toxic
Much appreciated!,support
You're so dumb,toxic
This helped me a lot!,support
You sound horrible,toxic
So clear and helpful,support
Stop making content,toxic
Thanks for the content!,support
Waste of time,toxic
This helped me a lot!,support
Waste of time,toxic
You're amazing!,support
You're such a loser,toxic
Legend!,support
Clickbait title,toxic
You're amazing!,support
This is trash,toxic
Legend!,support
Cringe content,toxic
Much appreciated!,support
You sound horrible,toxic
Legend!,support
You're so dumb,toxic
Best tutorial I've seen,support
Worst video ever,toxic
I learned a lot!,support
Cringe content,toxic
Awesome explanation,support
You're so dumb,toxic
Best tutorial I've seen,support
